device_id,seq,timestamp,arrival_time,duplicate_flag,gap_flag,payload_len,network_delay_s
11268,38,2025-12-12 17:40:51.593084,2025-12-12 17:40:53.146893,0,0,60,1.553809
11268,39,2025-12-12 17:40:51.693891,2025-12-12 17:40:53.246168,0,0,60,1.552277
11268,40,2025-12-12 17:40:51.794357,2025-12-12 17:40:53.348200,0,0,60,1.553843
11268,41,2025-12-12 17:40:51.895026,2025-12-12 17:40:53.447703,0,0,60,1.552677
11268,42,2025-12-12 17:40:51.995514,2025-12-12 17:40:53.555263,0,0,59,1.559749
11268,43,2025-12-12 17:40:52.096273,2025-12-12 17:40:53.649191,0,0,60,1.552918
11268,44,2025-12-12 17:40:52.196748,2025-12-12 17:40:53.748999,0,0,59,1.552251
11268,45,2025-12-12 17:40:52.297547,2025-12-12 17:40:53.859880,0,0,60,1.562333
11268,46,2025-12-12 17:40:52.398561,2025-12-12 17:40:53.954387,0,0,60,1.555826
11268,47,2025-12-12 17:40:52.498999,2025-12-12 17:40:54.055207,0,0,60,1.556208
11268,48,2025-12-12 17:40:52.599436,2025-12-12 17:40:54.158935,0,0,60,1.559499
11268,49,2025-12-12 17:40:52.699908,2025-12-12 17:40:54.258366,0,0,59,1.558458
11268,50,2025-12-12 17:40:52.800405,2025-12-12 17:40:54.360045,0,0,60,1.55964
11268,51,2025-12-12 17:40:52.901353,2025-12-12 17:40:54.465006,0,0,60,1.563653
11268,52,2025-12-12 17:40:53.002107,2025-12-12 17:40:54.562813,0,0,60,1.560706
11268,53,2025-12-12 17:40:53.103158,2025-12-12 17:40:54.667277,0,0,60,1.564119
11268,54,2025-12-12 17:40:53.203796,2025-12-12 17:40:54.760605,0,0,60,1.556809
11268,55,2025-12-12 17:40:53.304758,2025-12-12 17:40:54.868306,0,0,59,1.563548
11268,56,2025-12-12 17:40:53.405301,2025-12-12 17:40:54.964011,0,0,60,1.55871
11268,57,2025-12-12 17:40:53.505933,2025-12-12 17:40:55.059048,0,0,60,1.553115
11268,58,2025-12-12 17:40:53.606765,2025-12-12 17:40:55.159830,0,0,60,1.553065
11268,59,2025-12-12 17:40:53.707255,2025-12-12 17:40:55.261548,0,0,60,1.554293
11268,60,2025-12-12 17:40:53.808054,2025-12-12 17:40:55.360096,0,0,60,1.552042
11268,61,2025-12-12 17:40:53.909033,2025-12-12 17:40:55.481217,0,0,60,1.572184
11268,62,2025-12-12 17:40:54.009440,2025-12-12 17:40:55.561639,0,0,60,1.552199
11268,63,2025-12-12 17:40:54.109893,2025-12-12 17:40:55.661920,0,0,60,1.552027
11268,64,2025-12-12 17:40:54.210655,2025-12-12 17:40:55.777457,0,0,60,1.566802
11268,65,2025-12-12 17:40:54.311313,2025-12-12 17:40:55.863205,0,0,60,1.551892
11268,66,2025-12-12 17:40:54.411745,2025-12-12 17:40:55.978074,0,0,60,1.566329
11268,67,2025-12-12 17:40:54.512187,2025-12-12 17:40:56.064439,0,0,60,1.552252
11268,68,2025-12-12 17:40:54.612634,2025-12-12 17:40:56.167862,0,0,60,1.555228
11268,69,2025-12-12 17:40:54.713095,2025-12-12 17:40:56.265779,0,0,60,1.552684
11268,70,2025-12-12 17:40:54.813690,2025-12-12 17:40:56.368225,0,0,60,1.554535
11268,71,2025-12-12 17:40:54.914243,2025-12-12 17:40:56.471287,0,0,60,1.557044
11268,72,2025-12-12 17:40:55.014706,2025-12-12 17:40:56.571960,0,0,60,1.557254
11268,73,2025-12-12 17:40:55.115200,2025-12-12 17:40:56.668934,0,0,60,1.553734
11268,74,2025-12-12 17:40:55.215731,2025-12-12 17:40:56.771576,0,0,60,1.555845
11268,75,2025-12-12 17:40:55.316200,2025-12-12 17:40:56.877449,0,0,59,1.561249
11268,76,2025-12-12 17:40:55.416667,2025-12-12 17:40:56.977525,0,0,60,1.560858
11268,77,2025-12-12 17:40:55.517089,2025-12-12 17:40:57.069421,0,0,60,1.552332
